,Дата,Время,Сайт,Отзыв
52,01 июня 2018,17:51,professorrating.org,"МГУ-это всего лишь бренд с завышенной самооценкой! Может раньше он и был лучший в стране,но не сейчас! Обшарпанный внутри,с облезлыми стенами,а преподы-да это ж ужас какой-то,старые маразматики! У нас что в стране нет молодых? Чему могужет научить древний дед или старуха которые еле ходят,не говоря уже о какой-то преподавательской деятельности?Зайдите на химфак и вы ужаснётесь! Я не понимаю куда смотрит декан этого факультета? Там преподавателям всем-очень далеко за 70-80 лет! Есть молодые учёные,но из-за того что «старьё « крепко засело там им не дают хода! Их рубят прям в зачатке!







"
53,06 мая 2014,20:22,professorrating.org,"По рейтингу сразу видно, что голосуют злобные отчисленные студенты и те, у кого учится в МГУ мозгов не хватает. Ага, десятое место, ну-ну)







"
54,24 февраля 2015,15:39,professorrating.org,"Мгу это как мордовский пед. колледж но с большими претензиями и очень высоким чсв Вы верите в это? Тогда вы осел. Счастья вам в стране дураков .







"
55,14 мая 2014,21:20,professorrating.org,"Образование средненькое, но корочка МГУ престижная и ценится при приёме на работу!.







"
56,22 мая 2015,20:58,professorrating.org,"А эти все ребята в своем поведении - образец для подражания???У нас к вьетнамцам наоборот относились по отечески.







"
57,28 июня 2014,13:08,professorrating.org,"Знаний не дают, а оплата за обучение высокая и повышается на много с каждым годом. Отношение к студентам неуважительное, отвратительное. Обучения никакого, зато нервы все вытянут. Программа обучения не продумана. Факультет Гос. аудита просто никакой. 







"
58,28 июня 2014,21:56,professorrating.org,"ректор МГУ Садовничий нарушает Трудовой Кодекс, его вольяжность и присутствие на тусовках властьпридержащих выглядит неприятно,а увольнение Дугина-честного, порядочного человека,открыто выражающего свое мнение -не делает чести Садовничем, а МГУ нуждается во всесторонней финансовой,прокурорской и чекисткой проверках-очень много сигналов о злоупотреблениях в этом ""блатном""учреждении







"
59,23 июля 2017,20:38,professorrating.org,"А вы точно  из МГУ? Такая неграмотность-продукт обучения?







"
60,17 июля 2014,15:39,professorrating.org,"Это Дугин-то порядочный и честный?:))) Его к студентам нельзя - нездоров он







"
61,22 июля 2014,18:47,professorrating.org,"В Китай лезут. Уж со своими бы были внимательнее. Никто никому не нужен.Ушла в академический- хоть бы кто раз позвонил или написал- живая я там вообще или нет. Не каждый будет учиться на одних амбициях и бегать за ними...







"
