,Дата,Время,Отзыв
62,01 августа 2014,01:55,"В целом ВУЗ хороший, конечно, но надо оценивать каждый факультет по отдельности.Самое гиблое место - это социологический факультет, заявляю с полной ответственностью. Вернее, это даже не факультет, а искусственно созданная контора, которая существует относительно недавно и которой все это время руководит один декан. В среде МГУ-шников уже подавно считается, что все самые тупицы исходят в основном из социологического факультета. Это и не удивительно: все нормальные оттуда сбегают. Образование на нем никакое, особенно что касается вечернего отделения (туда люди идут просто ради корочки - хотя и она тоже нигде не ценится). В общем, у человека будет больше шансов достигнуть успеха, если он окончит какой-нибудь средненький вуз. То, что соц.фак принадлежит МГУ - это только юридически, а во всем остальном это типичная шаражка. Не верите? - почитайте в той же Википедии.  Никому не советую повторять мой горький опыт. Целый год потерял, учась на вечернем отделении (вернее, тупо посещая вечером лекции). Перепоступаю сейчас на эконом фак с потерей года, экзамены пришлось сдавать заново. Так что прежде чем выбирать социологию - десять раз подумайте. Потом - не жалуйтесь, что вас не предупреждали. 







"
63,22 августа 2015,15:07,"Ты ,""умный"", которому мама всю жизнь ""слюньки"", наверняка, подтирает,  называешь тупицами людей, которые работают с 9 до 18 и приходят каждый день после работы на учебу, включая субботы, чтобы на жизнь заработать и образование в лучшем вузе России получить. Посмотрим, что ты еще со своим Экономическим факультетом добьешься, еще может с первого курса вылетишь! 







"
64,12 августа 2014,01:14,"Для меня МГУ действительно стал alma mater и практически вторым домом. Я просто знаю, что это то место, где люди в большинстве своем близки мне по духу. Они могут быть плохие, хорошие, странные и не очень, но я могу на 80% быть уверена, что найду у них понимание, потому что они обладают тем же набором ценностей. Здесь, конечно, стоит оговориться, что я имею в виду свой факультет и свое отделение.







"
65,23 сентября 2014,16:27,"Рассадник мракобесия...







"
66,07 октября 2014,18:39,"Уровень образования варьирует от факультета к факультету. В целом, ""старые"" факультеты (и гуманитарные и естественные) стараются держать более-менее высокую планку, а всё, что начинается со слов ""Высшая школа ..."" - УГ, профанация и растрата бюджета. Хотя, по слухам, ""высшая школа перевода"" является неплохим факультетом.







"
67,23 октября 2014,18:02,"Вершина знаний, мысли цвет, -таким был университет.А нынче, волею судеб,он превращается в вертеп. ..... То гордый дух былых временраспят, осмеян, искажен.Здесь бредни мудростью слывут,а мудрость глупостью зовут!







"
68,"01 февраля 2016', '52\nПожаловатьсяВыпускник 1973",11:52,"Выпускник 1973, физфак, сто пудов подписываюсь под этими стихами. Знал МГУ в разные годы и разные факультеты.







"
69,16 августа 2018,14:00,"Мне кажется, что у сотрудников, которые хамят всем подряд, тяжелая жизнь и что-то, видимо, не так сложилось; их пожалеть надо, а хамить в ответ не стоит, это лишь сильнее их разозлит.







"
70,26 августа 2018,19:28,"что танцору мешает, тебе известно? Выше головы не прыгнешь, тоже факт. А если не можешь, нечего наговаривать.







"
71,16 декабря 2014,08:20,"Уровень подготовки абитуриентов с каждым годом становится всё ниже... Деградирует студент: ЕГЭ и бакалавриат дают о себе знать.







"
